STOCK	VALUE	DAY	TIME
ILC	911	14	1058	
ILC	746	13	1676	
ILC	156	11	1150	
ILC	957	13	1276	
ILC	763	3	1587	
ILC	565	12	1449	
ILC	591	1	1382	
ILC	830	9	1679	
ILC	303	6	1660	
ILC	114	9	1056	
ILC	794	12	1342	
ILC	917	12	1489	
ILC	937	14	1604	
ILC	89	10	1130	
ILC	84	4	1608	
ILC	396	2	1424	
ILC	10	1	1444	
ILC	528	3	1516	
ILC	988	10	1624	
ILC	793	13	1262	
ILC	689	11	1275	
ILC	377	3	1620	
ILC	795	3	1133	
ILC	363	3	954	
ILC	423	5	1641	
ILC	209	12	1222	
ILC	420	14	1624	
ILC	396	10	1183	
ILC	151	9	1415	
ILC	41	3	1039	
ILC	536	11	1585	
ILC	266	4	1174	
ILC	977	6	1474	
ILC	826	13	1014	
ILC	926	7	1366	
ILC	602	5	1342	
ILC	574	1	1149	
ILC	997	9	1238	
ILC	139	9	1588	
ILC	300	4	1543	
ILC	596	2	1228	
ILC	538	11	1207	
ILC	45	1	1119	
ILC	769	13	1018	
ILC	84	12	1410	
ILC	788	14	1433	
ILC	717	4	1582	
ILC	442	13	982	
ILC	647	11	1608	
ILC	883	10	1226	
ILC	99	7	1091	
ILC	264	9	1548	
ILC	474	6	1128	
ILC	243	13	1574	
ILC	215	2	1523	
ILC	531	4	1068	
ILC	120	4	1271	
ILC	118	10	1439	
ILC	204	4	1054	
ILC	246	10	1525	
ILC	4	10	1269	
ILC	13	4	1245	
ILC	975	4	1545	
ILC	434	6	1478	
ILC	369	6	1279	
ILC	269	10	1082	
ILC	174	8	984	
ILC	938	12	1052	
ILC	997	1	1129	
ILC	489	11	951	
ILC	994	5	1587	
ILC	546	6	1491	
ILC	682	14	1245	
ILC	166	11	1037	
ILC	484	13	956	
ILC	3	13	1634	
ILC	946	9	1418	
ILC	32	7	1110	
ILC	700	1	1534	
ILC	318	5	1208	
ILC	487	10	1200	
ILC	587	10	1671	
ILC	318	9	1233	
ILC	434	14	1472	
ILC	898	7	1645	
ILC	924	5	1422	
ILC	762	8	1399	
ILC	531	4	995	
ILC	348	14	1023	
ILC	854	14	1608	
ILC	296	13	1034	
ILC	955	3	1486	
ILC	2	1	1587	
ILC	692	8	1487	
ILC	459	5	963	
ILC	672	6	983	
ILC	37	6	1233	
ILC	289	14	997	
ILC	523	7	1319	
ILC	20	1	1478	
ILC	984	7	1028	
ILC	849	11	1397	
ILC	442	8	988	
ILC	881	5	1657	
ILC	51	14	1353	
ILC	434	5	1023	
ILC	34	14	1372	
ILC	234	7	1652	
ILC	66	2	1425	
ILC	228	14	1144	
ILC	476	14	1391	
ILC	578	12	1667	
ILC	559	1	1020	
ILC	18	3	981	
ILC	542	3	1322	
ILC	595	4	1066	
ILC	255	13	1010	
ILC	847	5	1470	
ILC	620	11	1429	
ILC	641	2	1446	
ILC	46	5	963	
ILC	566	2	1007	
ILC	439	11	1211	
ILC	104	2	1616	
ILC	532	9	1695	
ILC	184	10	1024	
ILC	168	4	1034	
ILC	520	14	955	
ILC	248	7	1158	
ILC	873	2	1565	
ILC	417	13	1652	
ILC	300	2	1353	
ILC	89	9	1603	
ILC	508	11	1223	
ILC	876	9	1093	
ILC	243	4	1332	
ILC	759	12	949	
ILC	180	5	1004	
ILC	18	14	1135	
ILC	775	2	1533	
ILC	962	8	1178	
ILC	773	2	1300	
ILC	503	5	1096	
ILC	993	4	1580	
ILC	262	1	1414	
ILC	286	10	1143	
ILC	662	4	1673	
ILC	644	9	1545	
ILC	79	11	1603	
ILC	306	6	1425	
ILC	965	8	1060	
ILC	822	4	1313	
ILC	442	10	1491	
ILC	265	6	1256	
ILC	829	12	1448	
ILC	232	4	1292	
ILC	809	5	1651	
ILC	294	7	1242	
ILC	640	4	1630	
ILC	816	4	1038	
ILC	975	7	1337	
ILC	535	11	1243	
ILC	950	3	1332	
ILC	591	2	1202	
ILC	685	4	984	
ILC	388	5	1308	
ILC	381	3	1188	
ILC	141	8	1412	
ILC	846	10	1588	
ILC	516	10	1152	
ILC	643	7	1325	
ILC	909	6	1585	
ILC	368	10	1066	
ILC	959	6	1171	
ILC	677	10	1313	
ILC	502	8	1358	
ILC	719	9	1520	
ILC	709	1	1154	
ILC	397	5	1646	
ILC	861	3	1662	
ILC	844	2	1699	
ILC	592	5	1116	
ILC	365	1	1219	
ILC	167	11	1029	
ILC	699	12	1024	
ILC	792	1	1106	
ILC	114	10	1483	
ILC	36	12	1642	
ILC	8	13	1275	
ILC	950	13	1550	
ILC	400	1	1491	
ILC	331	14	1354	
ILC	995	2	1603	
ILC	63	11	1102	
ILC	406	10	1195	
ILC	427	7	1634	
ILC	515	1	1561	
ILC	488	6	1234	
ILC	485	2	1135	
ILC	72	12	1305	
ILC	763	14	1347	
ILC	923	14	1354	
ILC	896	4	1667	
ILC	333	3	1501	
ILC	908	5	1400	
ILC	739	5	1595	
ILC	327	9	1280	
ILC	391	9	1044	
ILC	77	3	960	
ILC	64	13	1278	
ILC	213	8	1190	
ILC	523	5	1618	
ILC	150	8	1208	
ILC	613	1	1170	
ILC	644	10	985	
ILC	659	4	1367	
ILC	169	10	1102	
ILC	287	10	1667	
ILC	49	12	1616	
ILC	179	12	1141	
ILC	909	8	1168	
ILC	78	2	1488	
ILC	15	3	1137	
ILC	715	13	1559	
ILC	959	13	1537	
ILC	873	12	1337	
ILC	164	13	1197	
ILC	65	2	1598	
ILC	501	11	1455	
ILC	957	9	1126	
ILC	786	11	1138	
ILC	750	9	1138	
ILC	929	8	1552	
ILC	782	5	1110	
ILC	360	2	1153	
ILC	290	7	1382	
ILC	591	6	1074	
ILC	311	8	1501	
ILC	558	2	1237	
ILC	408	9	1082	
ILC	644	7	1536	
ILC	479	3	1472	
ILC	153	13	1577	
ILC	96	5	1665	
ILC	79	1	1204	
ILC	587	1	1021	
ILC	438	5	1087	
ILC	80	8	1421	
ILC	799	5	1526	
ILC	645	3	1470	
ILC	233	1	1311	
ILC	752	6	1441	
ILC	437	14	1182	
ILC	147	3	1208	
ILC	469	8	1529	
ILC	927	3	1364	
ILC	832	8	1121	
ILC	627	11	1219	
ILC	813	11	1556	
ILC	892	3	1269	
ILC	540	11	1324	
ILC	822	1	1463	
ILC	209	6	1125	
ILC	347	7	1083	
ILC	21	5	1669	
ILC	26	14	1264	
ILC	932	14	1545	
ILC	771	10	1583	
ILC	133	3	1635	
ILC	293	14	1088	
ILC	380	1	1633	
ILC	599	2	1101	
ILC	585	1	1270	
ILC	772	12	1551	
ILC	974	9	1140	
ILC	270	7	1385	
ILC	683	5	1304	
ILC	214	4	1509	
ILC	97	11	1418	
ILC	694	14	1313	
ILC	370	4	1583	
ILC	74	5	1221	
ILC	994	8	1661	
ILC	134	10	1462	
ILC	73	2	1208	
ILC	282	14	1344	
ILC	407	8	1536	
ILC	561	2	1357	
ILC	527	7	1097	
ILC	400	3	1533	
ILC	508	6	1618	
ILC	393	2	976	
ILC	874	11	1063	
ILC	163	14	1455	
ILC	322	13	1069	
ILC	653	11	1112	
ILC	620	3	1450	
ILC	436	8	1160	
ILC	309	13	1663	
ILC	371	10	1508	
ILC	915	12	1157	
ILC	40	12	1160	
ILC	342	3	1070	
ILC	128	10	1228	
ILC	886	1	1637	
ILC	312	14	1120	
ILC	673	12	1519	
ILC	373	1	1204	
ILC	624	5	1522	
ILC	959	10	1423	
ILC	918	13	1593	
ILC	745	2	994	
ILC	75	6	991	
ILC	339	6	1242	
ILC	671	9	1195	
ILC	425	14	976	
ILC	40	6	1304	
ILC	483	6	1092	
ILC	36	14	1073	
ILC	224	4	1414	
ILC	885	5	1329	
ILC	809	8	1508	
ILC	388	2	1379	
ILC	215	8	1693	
ILC	732	10	969	
ILC	699	10	1657	
ILC	770	12	1010	
ILC	845	8	937	
ILC	80	1	1050	
ILC	219	4	1464	
ILC	635	10	1219	
ILC	242	2	1462	
ILC	798	6	1655	
ILC	645	6	1471	
ILC	909	11	1057	
ILC	915	7	1272	
ILC	256	6	1071	
ILC	321	14	1043	
ILC	204	7	1614	
ILC	247	1	1067	
ILC	689	1	1434	
ILC	888	10	1220	
ILC	589	9	1564	
ILC	864	4	1453	
ILC	490	13	1352	
ILC	700	14	1059	
ILC	357	4	1088	
ILC	499	4	1195	
ILC	609	5	1075	
ILC	441	2	1491	
ILC	219	13	1691	
ILC	545	13	1303	
ILC	512	7	1059	
ILC	944	12	1408	
ILC	619	1	956	
ILC	424	3	1433	
ILC	340	5	1410	
ILC	854	9	965	
ILC	812	6	1029	
ILC	13	12	1568	
ILC	954	11	1112	
ILC	710	14	1338	
ILC	803	10	1541	
ILC	468	13	1678	
ILC	630	2	1670	
ILC	919	14	1646	
ILC	250	13	1025	
ILC	876	1	1175	
ILC	559	9	1439	
ILC	63	10	963	
ILC	789	2	1422	
ILC	711	1	1164	
ILC	434	3	1400	
ILC	983	10	1073	
ILC	506	14	1010	
ILC	928	11	1482	
ILC	233	13	1230	
ILC	774	8	1335	
ILC	54	1	1291	
ILC	117	6	1396	
ILC	405	11	1441	
ILC	136	14	952	
ILC	573	8	1690	
ILC	229	2	1475	
ILC	486	3	936	
ILC	244	13	1641	
ILC	364	4	1630	
ILC	467	10	1535	
ILC	126	7	1545	
ILC	589	2	987	
ILC	153	4	1271	
ILC	769	10	1191	
ILC	150	4	1307	
ILC	534	9	1613	
ILC	671	6	1468	
ILC	628	12	1613	
ILC	606	9	1224	
ILC	573	7	1318	
ILC	123	11	1522	
ILC	97	8	1575	
ILC	992	9	1359	
ILC	601	1	1518	
ILC	352	8	1668	
ILC	958	8	1357	
ILC	842	3	1032	
ILC	228	9	1392	
ILC	45	6	1600	
ILC	523	6	1492	
ILC	158	14	1321	
ILC	2	2	1599	
ILC	609	1	1556	
ILC	946	11	935	
ILC	586	9	1297	
ILC	102	6	1245	
ILC	721	13	1324	
ILC	649	2	1540	
ILC	566	2	1369	
ILC	117	12	1359	
ILC	767	13	1344	
ILC	799	12	1475	
ILC	84	7	1656	
ILC	490	3	1459	
ILC	787	6	1449	
ILC	407	9	1235	
ILC	320	14	1346	
ILC	196	2	1086	
ILC	382	9	1136	
ILC	484	14	1640	
ILC	76	9	1596	
ILC	279	2	1284	
ILC	627	1	1196	
ILC	395	11	1144	
ILC	900	6	946	
ILC	216	7	1342	
ILC	297	4	1522	
ILC	706	13	1437	
ILC	389	13	1549	
ILC	108	9	1444	
ILC	668	5	1382	
ILC	383	12	1286	
ILC	535	14	1057	
ILC	733	14	1472	
ILC	642	4	1148	
ILC	566	4	1071	
ILC	889	8	938	
ILC	488	12	1142	
ILC	12	1	1676	
ILC	307	2	1591	
ILC	929	11	1317	
ILC	645	13	1420	
ILC	254	5	1523	
ILC	557	4	964	
ILC	482	12	1194	
ILC	815	7	1345	
ILC	247	8	951	
ILC	812	2	1351	
ILC	147	2	1161	
ILC	629	4	1509	
ILC	464	6	1414	
ILC	8	1	1076	
ILC	976	14	1001	
ILC	278	5	1303	
ILC	745	10	1426	
ILC	840	6	1691	
ILC	216	13	1121	
ILC	451	6	1696	
ILC	250	5	1614	
ILC	721	10	1180	
ILC	971	2	1525	
ILC	387	8	1097	
ILC	70	13	1639	
ILC	117	14	1272	
ILC	416	10	1309	
ILC	172	14	1350	
ILC	670	3	1385	
ILC	517	12	955	
ILC	920	9	1660	
ILC	171	5	1167	
ILC	295	1	1363	
ILC	940	9	1096	
ILC	470	8	1007	
ILC	699	1	1539	
ILC	342	7	1338	
ILC	161	9	1591	
ILC	407	9	1476	
ILC	891	14	1632	
ILC	581	11	1245	
ILC	903	14	1468	
ILC	926	11	1035	
ILC	113	9	1658	
ILC	470	5	1173	
ILC	974	12	1344	
ILC	622	6	1621	
ILC	877	6	1266	
ILC	580	9	1040	
ILC	944	7	1285	
ILC	860	8	1076	
ILC	576	13	1401	
ILC	531	5	971	
ILC	697	13	1303	
ILC	617	11	1642	
ILC	642	1	1461	
ILC	606	7	951	
ILC	924	10	1260	
ILC	489	11	1422	
ILC	967	7	1274	
ILC	597	12	1458	
ILC	298	2	1317	
ILC	239	9	1240	
ILC	435	9	1044	
ILC	545	4	1045	
ILC	319	1	1170	
ILC	612	14	1410	
ILC	329	5	1404	
ILC	68	14	1346	
ILC	516	14	1478	
ILC	3	8	1268	
ILC	108	2	1334	
ILC	735	11	1140	
ILC	529	12	1249	
ILC	39	12	1466	
ILC	16	1	1569	
ILC	871	2	1202	
ILC	227	4	1208	
ILC	679	2	1307	
ILC	808	10	989	
ILC	838	13	1229	
ILC	69	13	935	
ILC	73	11	1502	
ILC	383	9	1127	
ILC	696	6	1410	
ILC	68	8	1218	
ILC	419	3	1540	
ILC	75	7	1475	
ILC	960	6	1504	
ILC	563	3	1351	
ILC	570	4	1360	
ILC	859	7	1592	
ILC	447	11	1512	
ILC	291	9	1118	
ILC	543	9	988	
ILC	32	13	1695	
ILC	791	5	1017	
ILC	155	14	975	
ILC	449	11	958	
ILC	742	11	1230	
ILC	550	11	1571	
ILC	314	5	1699	
ILC	702	9	1402	
ILC	169	1	1507	
ILC	961	5	1097	
ILC	119	8	1479	
ILC	375	1	1134	
ILC	319	5	1103	
ILC	896	6	1665	
ILC	786	6	1343	
ILC	797	10	1584	
ILC	486	7	1300	
ILC	639	5	1418	
ILC	330	1	971	
ILC	939	4	1229	
ILC	884	1	1600	
ILC	232	3	1287	
ILC	836	11	1671	
ILC	55	2	987	
ILC	565	7	1501	
ILC	368	12	1478	
ILC	35	8	1346	
ILC	704	1	1151	
ILC	543	13	1626	
ILC	560	10	1419	
ILC	579	2	1360	
ILC	70	12	977	
ILC	385	5	1128	
ILC	835	4	936	
ILC	869	3	1503	
ILC	229	14	1589	
ILC	183	14	1066	
ILC	762	11	1007	
ILC	232	8	1580	
ILC	199	4	1508	
ILC	342	3	1425	
ILC	62	11	947	
ILC	451	14	1364	
ILC	266	2	993	
ILC	683	8	1341	
ILC	208	5	1127	
ILC	638	7	1311	
ILC	896	3	1341	
ILC	903	11	1088	
ILC	145	1	1362	
ILC	840	6	1693	
ILC	33	9	1363	
ILC	950	12	1651	
ILC	713	10	1606	
ILC	810	4	1589	
ILC	808	7	1249	
ILC	792	8	1439	
ILC	515	10	1653	
ILC	962	13	1494	
ILC	833	3	1506	
ILC	249	1	1561	
ILC	944	8	1470	
ILC	271	5	1280	
ILC	614	12	1190	
ILC	246	2	1510	
ILC	36	1	968	
ILC	930	11	1298	
ILC	832	2	944	
ILC	784	10	1677	
ILC	454	12	1066	
ILC	323	1	1382	
ILC	168	14	1580	
ILC	52	8	1059	
ILC	704	6	1176	
ILC	830	1	1072	
ILC	111	5	1462	
ILC	473	1	1004	
ILC	274	5	1618	
ILC	408	5	1559	
ILC	778	10	1137	
ILC	530	4	1553	
ILC	659	8	1260	
ILC	479	12	1462	
ILC	940	14	1492	
ILC	474	8	1103	
ILC	890	9	1258	
ILC	997	7	1356	
ILC	25	11	1591	
ILC	767	14	995	
ILC	190	11	1054	
ILC	279	6	958	
ILC	847	13	1336	
ILC	275	6	1494	
ILC	833	6	1477	
ILC	855	6	1080	
ILC	585	11	1653	
ILC	58	4	1076	
ILC	923	8	1105	
ILC	732	9	1136	
ILC	549	4	1147	
ILC	548	14	1274	
ILC	768	14	1350	
ILC	379	13	1103	
ILC	150	1	1120	
ILC	783	2	1646	
ILC	830	10	1284	
ILC	400	5	1640	
ILC	684	9	945	
ILC	956	2	961	
ILC	624	10	930	
ILC	902	2	1058	
ILC	604	10	1198	
ILC	106	10	1216	
ILC	886	13	1491	
ILC	886	5	1349	
ILC	298	5	964	
ILC	11	9	1282	
ILC	22	6	1493	
ILC	74	5	1640	
ILC	933	7	1636	
ILC	791	5	988	
ILC	644	7	1415	
ILC	339	9	1166	
ILC	151	1	1575	
ILC	68	14	1031	
ILC	228	12	1224	
ILC	932	4	1337	
ILC	241	5	1050	
ILC	76	6	1156	
ILC	605	3	1395	
ILC	660	7	1368	
ILC	507	9	1265	
ILC	632	2	1660	
ILC	416	12	1337	
ILC	6	11	1408	
ILC	342	14	1668	
ILC	536	14	1387	
ILC	705	13	970	
ILC	814	7	1508	
ILC	258	7	1492	
ILC	659	11	1226	
ILC	638	13	1304	
ILC	82	12	1681	
ILC	530	12	1568	
ILC	434	11	1060	
ILC	115	14	1348	
ILC	871	8	1077	
ILC	712	3	1522	
ILC	98	14	1088	
ILC	380	4	1105	
ILC	213	5	1042	
ILC	387	5	957	
ILC	266	14	1184	
ILC	468	9	1027	
ILC	583	3	1596	
ILC	396	7	1138	
ILC	415	5	1184	
ILC	12	10	1675	
ILC	706	12	1038	
ILC	12	3	1343	
ILC	533	8	1365	
ILC	930	6	1074	
ILC	428	5	1425	
ILC	658	6	990	
ILC	37	5	1249	
ILC	6	11	989	
ILC	471	9	1252	
ILC	123	12	1574	
ILC	230	13	1529	
ILC	43	7	1544	
ILC	101	14	1096	
ILC	219	13	949	
ILC	597	4	1163	
ILC	755	9	1415	
ILC	941	11	1107	
ILC	870	6	988	
ILC	376	7	1627	
ILC	47	8	1013	
ILC	314	8	1127	
ILC	556	6	1043	
ILC	590	2	1554	
ILC	911	14	1384	
ILC	343	6	1483	
ILC	431	13	1182	
ILC	364	9	1036	
ILC	722	2	1405	
ILC	622	2	1263	
ILC	477	11	1634	
ILC	17	11	1105	
ILC	947	10	1172	
ILC	281	12	1165	
ILC	987	4	1214	
ILC	278	11	1150	
ILC	298	4	1164	
ILC	706	2	1003	
ILC	695	10	1452	
ILC	550	8	1485	
ILC	743	3	1273	
ILC	833	6	1460	
ILC	331	13	1411	
ILC	716	4	1434	
ILC	90	13	1231	
ILC	387	3	1591	
ILC	487	11	1208	
ILC	301	5	1488	
ILC	53	9	1222	
ILC	611	13	1238	
ILC	508	6	996	
ILC	72	13	1198	
ILC	334	9	1575	
ILC	568	14	1472	
ILC	365	13	1512	
ILC	354	4	1380	
ILC	596	6	1011	
ILC	803	4	1579	
ILC	59	14	1499	
ILC	802	11	1550	
ILC	656	11	1296	
ILC	534	7	1592	
ILC	734	7	1227	
ILC	640	8	1213	
ILC	815	4	1015	
ILC	965	10	1069	
ILC	86	12	1595	
ILC	37	7	1440	
ILC	243	13	1446	
ILC	556	6	1519	
ILC	370	11	1594	
ILC	583	13	1094	
ILC	29	1	1622	
ILC	319	3	1197	
ILC	325	6	1399	
ILC	138	8	988	
ILC	860	5	1548	
ILC	700	13	1199	
ILC	956	5	1421	
ILC	681	1	968	
ILC	205	2	1068	
ILC	753	7	1019	
ILC	680	3	1087	
ILC	755	9	1301	
ILC	265	8	1433	
ILC	574	13	1294	
ILC	755	1	1486	
ILC	403	3	1321	
ILC	40	4	982	
ILC	5	6	1505	
ILC	102	14	1503	
ILC	423	12	1192	
ILC	503	1	1537	
ILC	76	5	1144	
ILC	499	10	1522	
ILC	590	9	1684	
ILC	31	9	1302	
ILC	626	6	1508	
ILC	411	3	1576	
ILC	910	14	1252	
ILC	836	13	1278	
ILC	840	12	1548	
ILC	223	8	1608	
ILC	732	11	1228	
ILC	687	1	1132	
ILC	130	4	1484	
ILC	636	14	954	
ILC	66	8	1235	
ILC	118	10	1674	
ILC	468	12	1373	
ILC	235	10	1142	
ILC	186	7	1270	
ILC	510	7	1076	
ILC	889	12	1641	
ILC	795	14	1177	
ILC	494	6	1423	
ILC	278	14	1660	
ILC	620	9	1370	
ILC	205	6	1097	
ILC	789	8	1044	
ILC	660	2	1018	
ILC	74	4	973	
ILC	452	8	1019	
ILC	299	12	1146	
ILC	408	7	1102	
ILC	277	2	1326	
ILC	497	4	1034	
ILC	535	6	1670	
ILC	579	13	1656	
ILC	479	10	1484	
ILC	144	10	1012	
ILC	410	12	1358	
ILC	836	13	1135	
ILC	645	3	1172	
ILC	851	7	1617	
ILC	858	11	1436	
ILC	235	2	1648	
ILC	179	6	1194	
ILC	192	2	1149	
ILC	392	14	1336	
ILC	965	9	962	
ILC	430	7	1627	
ILC	406	14	1361	
ILC	686	7	1537	
ILC	878	11	1021	
ILC	776	13	1134	
ILC	313	13	1601	
ILC	47	1	993	
ILC	317	11	1291	
ILC	46	6	1274	
ILC	586	5	1056	
ILC	754	9	1648	
ILC	903	5	935	
ILC	205	14	1467	
ILC	956	5	1000	
ILC	286	12	1550	
ILC	469	7	1050	
ILC	721	4	1450	
ILC	577	9	1179	
ILC	335	6	963	
ILC	753	12	1358	
ILC	413	12	1057	
ILC	724	1	1259	
ILC	242	4	933	
ILC	609	9	1557	
ILC	398	10	1196	
ILC	465	12	1590	
ILC	46	6	1605	
ILC	755	6	1503	
ILC	504	3	1505	
ILC	683	9	1399	
ILC	976	1	1522	
ILC	96	14	1496	
ILC	165	7	1440	
ILC	589	8	1657	
ILC	808	5	1001	
ILC	474	3	1217	
ILC	461	4	1588	
ILC	536	7	1407	
ILC	732	6	1187	
ILC	815	8	1272	
ILC	652	13	1018	
ILC	715	3	1297	
ILC	907	8	1646	
ILC	433	14	1682	
ILC	967	13	1627	
ILC	795	12	1331	
ILC	824	3	1219	
ILC	338	1	1506	
ILC	70	14	1053	
ILC	634	5	969	
ILC	784	11	1376	
ILC	372	14	1167	
ILC	401	1	1591	
ILC	550	3	1265	
ILC	711	12	1433	
ILC	280	7	1125	
ILC	160	1	1003	
ILC	675	10	1122	
ILC	739	12	1135	
ILC	416	7	1151	
ILC	546	4	1488	
ILC	386	3	1197	
ILC	750	14	1149	
ILC	522	1	932	
ILC	291	12	1426	
ILC	864	9	1314	
ILC	434	9	1652	
ILC	461	10	1092	
ILC	200	4	1034	
ILC	663	12	1431	
ILC	106	9	1540	
ILC	459	7	1298	
ILC	439	6	1072	
ILC	390	13	1264	
ILC	28	2	936	
ILC	36	6	936	
ILC	929	12	1200	
ILC	533	4	943	
ILC	185	11	1045	
ILC	671	3	1011	
ILC	626	12	1651	
ILC	273	6	949	
ILC	980	10	986	
ILC	152	10	1036	
ILC	335	9	1281	
ILC	959	13	1140	
ILC	26	3	1428	
ILC	690	7	980	
ILC	630	6	1530	
ILC	22	7	1277	
ILC	560	2	1061	
ILC	231	10	1439	
ILC	417	13	1442	
ILC	870	12	1290	
ILC	549	6	1137	
ILC	744	7	1480	
ILC	601	7	1314	
ILC	272	13	1361	
ILC	217	8	1319	
ILC	73	4	1139	
ILC	502	2	1626	
ILC	611	5	1699	
ILC	858	10	1108	
ILC	119	2	1686	
ILC	782	11	1306	
ILC	595	6	1048	
ILC	873	10	1688	
ILC	704	14	1338	
ILC	463	12	1247	
ILC	490	7	1368	
ILC	738	6	1630	
ILC	552	14	1368	
ILC	922	14	1522	
ILC	830	8	1379	
ILC	707	8	1663	
ILC	325	4	1489	
ILC	363	8	1067	
ILC	844	10	1666	
ILC	180	12	1178	
ILC	998	5	1126	
ILC	41	7	1086	
ILC	866	5	1039	
ILC	424	7	1178	
ILC	412	11	1095	
ILC	138	12	1302	
ILC	431	1	1541	
ILC	754	12	1591	
ILC	708	8	1066	
ILC	564	14	1169	
ILC	257	9	1051	
ILC	577	9	1693	
ILC	308	11	1480	
ILC	780	6	1334	
ILC	569	3	1281	
ILC	794	14	993	
ILC	236	7	1312	
ILC	927	2	1272	
ILC	23	5	1631	
ILC	943	13	1105	
ILC	591	14	1237	
ILC	18	8	1543	
ILC	118	13	1487	
ILC	442	1	1356	
ILC	196	13	1428	
ILC	646	14	1077	
ILC	780	7	1340	
ILC	361	9	1237	
ILC	750	13	1209	
ILC	511	14	1223	
ILC	543	5	1678	
ILC	843	4	1232	
ILC	609	13	1114	
ILC	987	10	1281	
ILC	121	1	1365	
ILC	139	9	1378	
ILC	179	2	1075	
ILC	390	6	1219	
ILC	526	4	931	
ILC	14	3	1117	
ILC	853	2	1551	
ILC	583	9	1432	
ILC	779	1	1675	
ILC	187	3	1594	
ILC	867	2	1289	
ILC	827	3	1567	
ILC	423	3	1417	
ILC	47	6	1525	
ILC	905	13	1615	
ILC	459	12	1466	
ILC	933	4	1405	
ILC	356	7	1273	
ILC	26	6	1379	
ILC	497	9	1197	
ILC	493	2	1000	
ILC	648	9	1288	
ILC	169	3	1436	
ILC	992	12	1390	
ILC	41	6	1153	
ILC	783	3	1309	
ILC	730	8	1380	
ILC	424	5	1193	
ILC	427	13	1354	
ILC	67	12	1125	
ILC	610	13	1161	
ILC	334	14	976	
ILC	939	8	1170	
ILC	43	8	1117	
ILC	32	7	1258	
ILC	432	4	1129	
ILC	695	3	1535	
ILC	955	3	1092	
ILC	513	14	1537	
ILC	865	4	1611	
ILC	201	1	1208	
ILC	822	9	1458	
ILC	839	13	1609	
ILC	674	1	1228	
ILC	811	4	1366	
ILC	437	9	1017	
ILC	446	12	1486	
ILC	55	14	1092	
ILC	335	8	948	
ILC	314	13	1038	
ILC	486	7	1476	
ILC	65	3	1563	
ILC	416	13	1039	
ILC	707	5	1332	
ILC	932	7	1212	
ILC	849	10	1205	
ILC	959	13	1072	
ILC	275	7	1112	
ILC	937	14	1274	
ILC	94	2	1677	
ILC	808	12	1128	
ILC	691	12	1552	
ILC	796	13	1302	
ILC	62	10	1692	
ILC	248	5	1066	
ILC	106	5	978	
ILC	67	12	1628	
ILC	826	14	1158	
ILC	58	13	1576	
ILC	991	7	1178	
ILC	58	12	1568	
ILC	891	14	1484	
ILC	754	4	1455	
ILC	46	12	1694	
ILC	160	5	960	
ILC	626	13	1228	
ILC	600	4	1351	
ILC	247	2	1580	
ILC	900	4	994	
ILC	334	4	1151	
ILC	423	12	1542	
ILC	91	6	1021	
ILC	403	13	1142	
